user_id,first_name,last_name,email,signup_date,country,city,postal_code,age,gender,loyalty_tier
U000001,Sai,Shetty,sai.shetty893@gmail.com,2022-03-02,India,Indore,690467,58,Other,Silver
U000002,Navya,Patel,navya.patel860@gmail.com,2022-08-19,India,Kochi,633026,63,Male,Bronze
U000003,Diya,Chowdhury,diya.chowdhury7357@gmail.com,2022-07-26,India,Surat,680854,24,Male,Bronze
U000004,Reyansh,Verma,reyansh.verma8396@gmail.com,2020-11-29,India,Indore,447789,61,Female,Gold
U000005,Arjun,Pandey,arjun.pandey7815@gmail.com,2022-09-23,India,Ahmedabad,592898,38,Other,Silver
U000006,Mohammed,Patel,mohammed.patel4504@gmail.com,2024-06-10,India,Kolkata,280429,20,Female,Bronze
U000007,Mohammed,Sharma,mohammed.sharma8582@gmail.com,2020-10-28,India,Mumbai,730723,53,Other,Silver
U000008,Zara,Iyer,zara.iyer7004@gmail.com,2022-03-25,United Kingdom,Birmingham,41906,59,Female,Bronze
U000009,Ira,Malhotra,ira.malhotra6778@gmail.com,2021-10-26,India,Chandigarh,693787,39,Female,Silver
U000010,Saanvi,Iyer,saanvi.iyer4977@gmail.com,2023-09-20,India,Bengaluru,142852,50,Male,Silver
U000011,Saanvi,Pillai,saanvi.pillai9224@gmail.com,2022-01-20,United Kingdom,London,77027,33,Other,Bronze
U000012,Aadhya,Singh,aadhya.singh9054@gmail.com,2023-12-24,India,Indore,387844,26,Male,Silver
U000013,Arjun,Iyer,arjun.iyer4629@gmail.com,2021-08-26,India,Delhi,207441,28,Female,Bronze
U000014,Riya,Singh,riya.singh5644@gmail.com,2020-10-20,India,Delhi,612360,57,Female,Silver
U000015,Ananya,Singh,ananya.singh6297@gmail.com,2023-11-03,India,Patna,635198,57,Male,Silver
U000016,Myra,Reddy,myra.reddy4352@gmail.com,2024-06-28,India,Hyderabad,713573,31,Female,Bronze
U000017,Ira,Khan,ira.khan2396@gmail.com,2024-03-01,India,Chennai,621871,27,Male,Platinum
U000018,Krishna,Shetty,krishna.shetty8048@gmail.com,2023-11-26,India,Ahmedabad,115521,49,Female,Gold
U000019,Reyansh,Khan,reyansh.khan4715@gmail.com,2022-10-12,India,Nagpur,638874,39,Female,Bronze
U000020,Myra,Singh,myra.singh5056@gmail.com,2021-03-24,India,Kochi,536555,23,Female,Gold
U000021,Riya,Nair,riya.nair4396@gmail.com,2024-04-11,India,Ahmedabad,611302,44,Female,Bronze
